Site;Latitude;Longitude
Palomares del Rio;37.33;-6.05
Pantano de la Torre del Aguila;;
Parque de Canillas;;
Parque de Maria Luisa;;
Parque Moret;37.27;-6.94
Parque Pio XII;;
Parque Urbano, Puebla del Rio;;
Pilares;;
Pinar de San Agustín;36.99;-6.45
Pinar La Romana;;
Playa de Camposoto;;
Playa de la Victoria;;
Puebla de Guzman;;
Puebla del Rio;;
Puerto Real;36.52;-6.1
Puerto Real;36.53;-6.18
Rancho Bajo (maizal);;
Refugio de las Serpientes;;
Reserva Biologica de Doñana;36.99;-6.44
Restaurante El Olivo;;
Rio Corbones;;
Rio El Valle;;
Rio Guadaira;37.23;-6.03
Rio Guadiamar;36.99;-6.44
Rio Guadiamar-Vicario;;
Rio Lora;37.66;-5.59
Rio Pudio;;
Rivera del Hueznar;;
Salinas Aragonesas;;
San Fernando;36.45;-6.2
San Juan del Puerto;;
San Roque;36.2;-5.41
San Roque;36.23;-5.37
Sanlucar de Barrameda;36.78;-6.35
Sanlucar la Mayor;37.39;-6.2
Sede Los Alamos Diputacion de Huelva;;
Sevilla;37.36;-5.93
Sevilla;37.37;-5.98
Sevilla;37.38;-5.95
Sevilla;37.4;-6.01
Sierra Clara;;
Sierra de Montellano;;
Sierra del Barranco;;
Sobarbina;;
Soto Chico;;
Tijeras/Brazo del Este;;
Tocina;37.6;-5.72
Trajano, Utrera;;
Tres Cancelas/Brazo del Este;;
Urbanizacion Entrecaminos;;
Utrera;37.07;-5.78
Utrera;37.07;-5.97
Vado del Quema;;
Valencina de la Concepcion;;
Valle Hermoso;;
Vereda Los Palos;;
Veta la Palma;;
Via Tren;;
Villamanrique de la Condesa;37.22;-6.32
Villamanrique de la Condesa;37.25;-6.31
Villanueva del Ariscal;37.4;-6.15
